Country,Clicks,Impressions,CTR,Position
Malaysia,55,4316,1.27%,10.53
Pakistan,4,76,5.26%,4.83
Singapore,3,102,2.94%,11.09
Japan,2,16,12.5%,6.56
United States,1,293,0.34%,7.75
Indonesia,1,42,2.38%,7.5
Netherlands,1,13,7.69%,7.62
South Korea,1,12,8.33%,7.58
India,0,35,0%,9.97
Australia,0,28,0%,8
Philippines,0,21,0%,10.14
Thailand,0,20,0%,7.85
New Zealand,0,16,0%,19.62
United Kingdom,0,15,0%,7.73
Brazil,0,13,0%,5.46
China,0,13,0%,9.69
Hong Kong,0,12,0%,8.75
Bangladesh,0,12,0%,9.92
Taiwan,0,10,0%,8
Vietnam,0,10,0%,9
Brunei,0,10,0%,10.1
Spain,0,8,0%,6.5
Canada,0,7,0%,6.57
Italy,0,5,0%,2.6
France,0,5,0%,4.6
South Africa,0,4,0%,6.25
Egypt,0,4,0%,7.25
United Arab Emirates,0,4,0%,8
Russia,0,4,0%,8.25
Germany,0,3,0%,4.67
Saudi Arabia,0,3,0%,5
Ireland,0,3,0%,6.67
Mexico,0,3,0%,7.33
Myanmar (Burma),0,3,0%,7.33
Cambodia,0,3,0%,8
Turkey,0,3,0%,8
Argentina,0,3,0%,8.33
Denmark,0,3,0%,9.67
Kazakhstan,0,2,0%,3.5
Chile,0,2,0%,4.5
Greece,0,2,0%,5.5
Ecuador,0,2,0%,6
Iran,0,2,0%,6.5
Portugal,0,2,0%,7
Nigeria,0,2,0%,8
Qatar,0,2,0%,8.5
Uzbekistan,0,1,0%,2
Peru,0,1,0%,5
Paraguay,0,1,0%,5
Austria,0,1,0%,6
Georgia,0,1,0%,6
Poland,0,1,0%,6
Palestine,0,1,0%,6
Algeria,0,1,0%,7
Croatia,0,1,0%,7
Iraq,0,1,0%,7
Kenya,0,1,0%,7
Kyrgyzstan,0,1,0%,8
Switzerland,0,1,0%,9
Serbia,0,1,0%,9
Sweden,0,1,0%,9
Albania,0,1,0%,10
Mauritius,0,1,0%,10
Ukraine,0,1,0%,10
Belgium,0,1,0%,11
Kuwait,0,1,0%,12
Maldives,0,1,0%,12
Slovenia,0,1,0%,16
Cyprus,0,1,0%,20
Côte d’Ivoire,0,1,0%,44
