No,Keyword,Search Volume,CPC,Paid Difficulty,Search Intent,Search Difficulty
1,menu,9900,RM1.59,38,"informational, navigational",41
2,menu sarapan pagi,1900,RM0.45,38,informational,18
3,bbq town menu,1900,RM0,1,"informational, commercial, navigational",17
4,don omakase ttdi menu,1900,RM0.37,7,"commercial, navigational",12
5,menu aicha,1900,RM2.08,8,informational,13
6,o'briens menu,1900,RM1.39,4,"navigational, informational",14
7,donkai menu,1900,RM0,1,transactional,17
8,daily coffee menu,1900,RM1.43,11,informational,27
9,para thai menu,1900,RM1.39,4,"informational, commercial, navigational",20
10,design menu,1900,RM0.74,85,"transactional, commercial, navigational",45
11,zukkini menu,1900,RM0.08,1,informational,14
12,ekues cabin cafe menu,1900,RM0,1,"navigational, informational",18
13,friday restaurant menu,1900,RM1.23,1,informational,33
14,cleaver shed menu,1900,RM0.86,5,"commercial, transactional",20
15,sushi ya menu,1900,RM1.84,11,"navigational, commercial",15
16,subway day menu,1900,RM1.96,2,informational,46
17,wallace menu,1900,RM1.39,7,"informational, navigational",12
18,bienz menu,1900,RM0,1,"informational, navigational",19
19,marrybrown menu with prices,1900,RM0.51,5,,7
20,pretty hot chicken menu,1900,RM2.45,9,"commercial, navigational, informational",32
21,alwis food menu,1900,RM2.17,4,"informational, navigational",19
22,red brick kitchen menu,1900,RM0,1,informational,19
23,domino's pizza malaysia menu,1900,RM0.25,8,"commercial, informational",14
24,kenny rogers menu,1900,RM1.47,6,"navigational, informational",30
25,hwc coffee menu,1900,RM1.18,23,informational,8
26,menu nasi goreng,1900,RM1.67,12,"transactional, informational, commercial",19
27,stuff'd menu,1900,RM2.21,7,informational,23
28,kyomo menu,1900,RM0.41,1,"informational, navigational",15
29,salad atelier menu,1900,RM0.86,28,informational,10
30,sogno coffee menu,1900,RM1.27,7,"informational, navigational",24
31,ai cha menu malaysia,1900,RM1.63,8,informational,13
32,oceano symphony menu,1900,RM0,1,"informational, navigational",17
33,makan pagi by fizzy cafe menu,1900,RM1.31,2,informational,20
34,q house menu,1900,RM1.35,10,"navigational, informational",26
35,firewood penang menu,1900,RM1.02,4,"commercial, navigational, transactional",12
36,burger & lobster klcc menu,1900,RM0.41,1,"informational, navigational",16
37,empat sekawan menu,1900,RM1.14,5,"commercial, informational, navigational",20
38,dip n dip menu,1900,RM1.72,6,informational,15
39,doña bakehouse kuala lumpur menu,1900,RM3.92,4,informational,21
40,yellow brick road kuala lumpur menu,1900,RM0.08,1,"informational, navigational",29
41,chef kecik menu,1900,RM1.43,9,informational,24
42,menu burger king,1900,RM1.76,7,"informational, navigational",18
43,d apple fried chicken menu,1900,RM1.80,7,"informational, navigational",12
44,since then kuala lumpur menu,1900,RM1.51,1,informational,18
45,the tokyo restaurant menu,1900,RM5.11,3,"informational, commercial",22
46,menu raya,1900,RM1.51,13,informational,28
47,flour fire & stone menu,1900,RM0,1,navigational,14
48,nasi lemak shop menu,1900,RM2.29,11,"informational, navigational",22
49,kbbsteak ttdi menu,1900,RM0.61,14,"informational, navigational",11
50,tony roma's menu,1900,RM1.51,4,"informational, navigational",30
51,menu thong bowl,1900,RM0.37,1,transactional,19
52,nobu kuala lumpur menu,1900,RM3.72,3,informational,16
53,menu mcd 2025,1900,RM0,1,informational,19
54,mcd breakfast menu time malaysia,1900,RM0,1,"informational, navigational",18
55,menu masakan,1900,RM0.20,49,informational,19
56,brew house menu,1900,RM1.76,3,informational,22
57,the glasshopper menu,1900,RM0,1,informational,14
58,a la carte meaning menu,1900,RM0,1,informational,26
59,meaning of a la carte menu,1900,RM0,1,informational,23
60,kopi hut menu,1900,RM1.72,2,"navigational, informational, commercial",24
61,coffee beans malaysia menu,1900,RM0.98,17,informational,16
62,nasi lemak lobster jb menu,1900,RM0,1,informational,26
63,damascus menu,1900,RM1.06,6,"informational, commercial",14
64,10 grams menu,1900,RM1.18,3,informational,39
65,mee tarik jalan sultan menu,1900,RM2.12,4,"commercial, transactional",11
66,din tai fung menu,1900,RM1.14,6,"navigational, informational",22
67,bacio italian kitchen menu,1600,RM2.78,4,transactional,14
68,kfc menu for breakfast,1600,RM1.27,8,informational,20
69,the fat burger penang menu,1600,RM0.90,3,commercial,26
70,potato corner menu,1600,RM1.23,5,"informational, commercial",19
71,o'brien menu,1600,RM1.39,3,"informational, navigational",17
72,menu nasken coffee,1600,RM1.63,11,"informational, transactional",12
73,peninsula house menu,1600,RM0,1,"navigational, informational",21
74,the farm restaurant at the sphere menu,1600,RM0,1,informational,14
75,menu mcdonald's malaysia,1600,RM0.90,6,"informational, commercial",33
76,la pané pizza menu,1600,RM4.62,7,informational,25
77,hock kee kopitiam menu,1600,RM0.25,10,"informational, navigational, commercial",14
78,jibby by the park menu,1600,RM1.27,1,"navigational, informational",14
79,la spiga d oro menu,1600,RM0,1,"informational, navigational",29
80,menu mixue malaysia,1600,RM1.59,9,"informational, commercial",16
81,pizzas menu,1600,RM0.57,22,informational,29
82,kapitan menu,1600,RM1.35,9,informational,18
83,bhc chicken menu,1600,RM5.43,4,informational,11
84,duaswarp menu,1600,RM0.69,1,informational,25
85,supamala hotpot sunway pyramid menu,1600,RM0,1,informational,17
86,nimmies pastry cafe menu,1600,RM0.25,1,informational,21
87,nasi lemak burung hantu menu,1600,RM2.66,1,informational,27
88,q bistro menu,1600,RM1.31,7,informational,10
89,sweetree restaurant menu,1600,RM1.96,2,"commercial, navigational",13
90,pizza hut price menu,1600,RM0.65,21,commercial,18
91,menu dojo,1600,RM0.65,9,,21
92,stefania restaurant menu,1600,RM1.80,1,informational,19
93,krispy kreme menu,1600,RM1.27,11,informational,24
94,menu potluck,1600,RM2,25,informational,18
95,biru biru on the island menu,1600,RM0,1,"informational, navigational",19
96,noir restaurant menu,1600,RM0,1,informational,21
97,kooky plate menu,1600,RM0,1,informational,11
98,kopi ping menu,1600,RM1.43,11,"transactional, informational, navigational",17
99,jibril ss15 menu,1600,RM0.33,11,transactional,12
100,wanomiya menu,1600,RM1.18,3,"navigational, informational",16
101,menu coffee bean malaysia,1600,RM0.90,15,"commercial, transactional, informational",21
102,menu mrsm,1600,RM0,1,informational,20
